dataset_name,platform,modality,species,tissue,disease,n_samples,data_access_link,origin,source_paper_title,source_paper_doi,source_paper_year,source_paper_id,found_via,data_downloadable
10x human prefrontal cortex,10x Visium,spatial transcriptomics,human,prefrontal cortex,,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
MERFISH human heart,MERFISH,spatial transcriptomics,human,heart,,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
MERFISH mouse preoptic hypothalamus,MERFISH,spatial transcriptomics,mouse,preoptic hypothalamus,,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
MERFISH mouse brain (1),MERFISH,spatial transcriptomics,mouse,brain,,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
MERFISH mouse brain (2),MERFISH,spatial transcriptomics,mouse,brain,,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
Visium human ovarian cancer,Visium,spatial transcriptomics,human,ovary,,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
Visium human ovarian cancer (simulated),Visium,spatial transcriptomics,human,ovary,cancer,,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
STEREO-seq mouse embryo,STEREO-seq,spatial transcriptomics,mouse,embryo,,4,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
10x human small intestine,Visium,spatial transcriptomics,human,small intestine,,4,,reused,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,10.1101/2025.11.20.689624,2025,bio_ecfd39cd6dd6,literature_search,no link
ST-bank dataset (Visium ST data across 32 organs),10x Visium,spatial transcriptomics,human,"various (32 organs including brain, heart, kidney, breast, skin, etc.)","various (healthy, cancer, heart failure, Alzheimer's disease)",1007,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Adjacent normal human small intestine Visium dataset,10x Visium,spatial transcriptomics,human,small intestine,normal,8,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Human ovarian carcinosarcoma Visium dataset,10x Visium,spatial transcriptomics,human,ovary,ovarian carcinosarcoma,2,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Human breast cancer Visium and Xenium dataset,10x Visium / Xenium,spatial transcriptomics,human,breast,breast cancer,2,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
In-house triple-negative breast cancer (TNBC) patient-derived xenograft dataset,Xenium,spatial transcriptomics,human,breast,triple-negative breast cancer (TNBC),1,,generated,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Human colorectal cancer Visium-HD dataset,Visium-HD,spatial transcriptomics,human,colorectal / colon,colorectal cancer,1,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Mouse brain Visium dataset,10x Visium,spatial transcriptomics,mouse,brain cortex,brain cortex (healthy/normal reference),,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
In-house heart failure patient tissue dataset,10x Visium,spatial transcriptomics,human,heart,heart failure,,,generated,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
In-house paraffin-embedded Alzheimer's disease patient tissue dataset,10x Visium,spatial transcriptomics,human,brain,Alzheimer's disease,,,generated,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
In-house metaplastic breast cancer patient-derived xenograft dataset,10x Visium,spatial transcriptomics,human,breast,metaplastic breast cancer,,,generated,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Normal human heart sample Visium dataset,10x Visium,spatial transcriptomics,human,heart,normal,39,,reused,A visual–omics foundation model to bridge histopathology with spatial transcriptomics,10.1038/s41592-025-02707-1,2025,PMC12240810,literature_search,no link
Metastatic Melanoma Spatial Transcriptomics Dataset,CosMx Spatial Molecular Imager (CosMx),spatial transcriptomics,,Melanoma / Tumor microarray,Metastatic melanoma,47,,generated,SORBET: Automated cell-neighborhood analysis of spatial transcriptomics or proteomics for interpretable sample classification via GNN,10.1101/2023.12.30.573739,2023,bio_bc83457f6e33,literature_search,no link
NSCLC Spatial Proteomics Dataset,Imaging Mass Cytometry (IMC),spatial proteomics,,Non-small cell lung cancer,Non-small cell lung cancer (NSCLC),29,,reused,SORBET: Automated cell-neighborhood analysis of spatial transcriptomics or proteomics for interpretable sample classification via GNN,10.1101/2023.12.30.573739,2023,bio_bc83457f6e33,literature_search,no link
CRC Spatial Proteomics Dataset,CODEX,spatial proteomics,,Colorectal cancer (invasive front),Colorectal cancer (CRC),35,,reused,SORBET: Automated cell-neighborhood analysis of spatial transcriptomics or proteomics for interpretable sample classification via GNN,10.1101/2023.12.30.573739,2023,bio_bc83457f6e33,literature_search,no link
