model,model_paper_title,model_paper_link,dataset_id,usage,alias_in_model_paper
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,maynard2021_dlpfc_visium,"benchmark (annotation, clustering)",10xHPC
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,villacampa2021_ovarian_visium,benchmark (alignment),10xHOC
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,mirzazadeh2023_smallintestine_visium,benchmark (alignment),10xHSI
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,farah2024_developing_heart_merfish,"benchmark (annotation, clustering)",MERHH
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,moffitt2018_preoptic_merfish,"benchmark (annotation, clustering)",MERMPH
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,zhang2023_whole_mouse_brain_merfish,"benchmark (annotation, clustering)",MERMB
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,allen2023_aging_brain_merfish,"benchmark (annotation, clustering)",MERMBA
DRIFT,Diffusion-based Representation Integration for Foundation Models Improves Spatial Transcriptomics Analysis,https://doi.org/10.1101/2025.11.20.689624,chen2022_mosta_stereoseq,"benchmark (alignment, 3D reconstruction)",StereoME
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,bruker_cosmx_nsclc_ffpe,"benchmark (niche identification, held-out donors)",
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,10x_xenium_prime_skin_melanoma,benchmark (held-out dataset),
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,terra_iss_cartana_reproductive_tract,benchmark (held-out assay),
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,terra_xenium_skin_atlas,analysis (niche labeling),
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,terra_xenium_fetal_pancreas,analysis (developmental),
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,terra_xenium_adult_pancreas_npod,analysis (fetal-to-adult comparison),
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,cellxgene_mouse_brain_merfish_benchmark,"benchmark (mouse brain, ablations)",
TERRA,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,zenodo_starmap_mouse_brain_benchmark,"benchmark (mouse brain, ablations)",
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,allam2022spatially,pretraining corpus (spora),allam2022spatially
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,borner2025collection,pretraining corpus (spora),borner2025collection
VirTues,The Virtual Tissues foundation model resolves spatial proteomics across scales,https://doi.org/10.1038/s41586-026-10884-y,cho2025modeling,pretraining corpus (spora),cho2025modeling
